,prices,address,bed_num,home_type,city,zip_code,baths,sqft,state,zipcode,county,median_income
90,430000.0,7386 Tottenham,4.0,House for sale,Shelby Township,MI 48317,3.0,2572.0,MI,48317,99,77656
91,235000.0,3598 Babylon Rd,2.0,House for sale,Allegan,MI 49010,2.0,1344.0,MI,49010,159,NA
92,388888.0,39346 Lembke Dr,3.0,House for sale,Sterling Heights,MI 48313,3.0,2260.0,MI,48313,99,77656
93,319900.0,87 Royal Rd,4.0,House for sale,Springfield,MI 49037,3.0,1968.0,MI,49037,77,68056
94,100000.0,21729 Beechwood Ave,4.0,House for sale,Eastpointe,MI 48021,2.0,1630.0,MI,48021,99,77656
95,89900.0,9044 Dixie Hwy,2.0,House for sale,Ira,MI 48023,2.0,1236.0,MI,48023,147,69662
96,250000.0,71363 24th Ave,4.0,House for sale,South Haven,MI 49090,2.0,1700.0,MI,49090,5,52852
97,119900.0,1235 W Grand Blvd,4.0,House for sale,Detroit,MI 48208,1.0,1627.0,MI,48208,163,55023
98,269900.0,1013 Buckley Ave,4.0,House for sale,Petoskey,MI 49770,3.0,1583.0,MI,49770,31,51856
99,1.0,2260 Steamburg Rd,3.0,Auction,Hillsdale,MI 49242,2.0,3456.0,MI,49242,59,48162
100,350000.0,2100 N County Line Rd,5.0,House for sale,Watervliet,MI 49098,2.0,2221.0,MI,49098,21,76471
101,375000.0,1345 Mesa Dr,3.0,House for sale,Ypsilanti,MI 48197,3.0,2489.0,MI,48197,161,NA
102,170000.0,34053 Oakview St,4.0,House for sale,Clinton Township,MI 48035,2.0,1800.0,MI,48035,99,77656
103,215000.0,3760 Nixon Rd,3.0,House for sale,Potterville,MI 48876,2.0,2472.0,MI,48876,45,80227
104,75000.0,5242 Marseilles St,2.0,House for sale,Detroit,MI 48224,1.0,1030.0,MI,48224,163,55023
105,160000.0,734 E Chapin St,3.0,House for sale,Cadillac,MI 49601,1.0,2665.0,MI,49601,165,50000
106,349900.0,11803 Redberry Ct NE,3.0,House for sale,Rockford,MI 49341,3.0,2070.0,MI,49341,81,91808
107,425000.0,1501 Broadway Ave NW,8.0,Multi-family home for sale,Grand Rapids,MI 49504,4.0,4392.0,MI,49504,81,91808
108,239900.0,1655 Walnut Heights Dr,3.0,House for sale,East Lansing,MI 48823,2.0,2027.0,MI,48823,37,82542
109,699900.0,201 Sunset Ave,4.0,House for sale,Petoskey,MI 49770,3.0,3000.0,MI,49770,31,51856
110,155000.0,5935 Okemos Rd,4.0,House for sale,East Lansing,MI 48823,2.0,2155.0,MI,48823,37,82542
111,195000.0,5539 Robin Dr,3.0,House for sale,Grand Blanc,MI 48439,1.0,1146.0,MI,48439,125,59762
112,119900.0,8583 S M 129,3.0,House for sale,Sault Sainte Marie,MI 49783,2.0,1500.0,MI,49783,33,46204
113,239900.0,3504 E Pinecrest Dr,3.0,House for sale,Gladwin,MI 48624,1.0,900.0,MI,48624,129,49968
114,369900.0,46430 Jackson Dr,3.0,House for sale,Macomb,MI 48044,3.0,1680.0,MI,48044,99,77656
115,20000.0,5060 S Washington Rd,5.0,House for sale,Saginaw,MI 48601,3.0,1973.0,MI,48601,145,35417
116,409900.0,617 Long Point Dr,3.0,House for sale,White Lake,MI 48386,1.0,1008.0,MI,48386,125,59762
117,119000.0,6165 Lodewyck St,3.0,House for sale,Detroit,MI 48224,1.0,1097.0,MI,48224,163,55023
118,170000.0,1613 E Harry Ave,3.0,House for sale,Hazel Park,MI 48030,1.0,1013.0,MI,48030,125,59762
119,250000.0,1939 Sylvan Ave SE,3.0,House for sale,Grand Rapids,MI 49506,2.0,1800.0,MI,49506,81,91808
120,249000.0,5487 Ridge Rd,2.0,House for sale,Hale,MI 48739,1.0,810.0,MI,48739,69,NA
121,219900.0,619 Barnett St NE,3.0,House for sale,Grand Rapids,MI 49503,2.0,1614.0,MI,49503,81,91808
122,364900.0,6840 Maple Grove Rd,3.0,House for sale,Nashville,MI 49073,2.0,2000.0,MI,49073,15,60838
123,18000.0,2010 E Phelps Rd,4.0,Lot / Land for sale,Lake City,MI 49651,,,MI,49651,113,53516
124,359021.0,2579 Gulliford Dr SE,4.0,House for sale,Lowell,MI 49331,2.0,1812.0,MI,49331,81,91808
125,15500.0,Off Elder Rd,5.0,Lot / Land for sale,Mancelona,MI 49659,,,MI,49659,79,47183
126,205000.0,16534 Huntington Rd,3.0,House for sale,Detroit,MI 48219,2.0,2158.0,MI,48219,163,55023
127,159900.0,249 Granite St,4.0,House for sale,Cadillac,MI 49601,2.0,1600.0,MI,49601,165,50000
128,164900.0,22636 Raven Ave S,3.0,House for sale,Eastpointe,MI 48021,2.0,986.0,MI,48021,99,77656
129,375000.0,1501 W Water St SUITE 67,2.0,Condo for sale,New Buffalo,MI 49117,2.0,1222.0,MI,49117,21,76471
130,279900.0,7937 Chippewa St,4.0,House for sale,Portage,MI 49024,3.0,2777.0,MI,49024,77,68056
131,325000.0,5802 Brown City Rd,3.0,House for sale,Brown City,MI 48416,3.0,2240.0,MI,48416,147,69662
132,330000.0,4287 Lyons Rd,3.0,House for sale,Lyons,MI 48851,2.0,1764.0,MI,48851,67,44500
